id	loc	bytes	jp	en	edited_en
0	3:$4E4F	4	ゃす<name>６		
1	4:$4AFE	3	おかね	Gld	
2	11:$4012	5	こんぼう	Club	
3	11:$4018	5	ながまき	Nagamaki	
4	11:$401E	7	しんきぶき3	New Weapon 3	
5	11:$4026	3	カタナ	Katana	
6	11:$402A	9	ドラゴンキラー	Dragonkiller	
7	11:$4034	6	どうたぬき	Doutanuki	
8	11:$403B	8	マンジカブラ	Manji Kabura	
9	11:$4044	10	じょうぶつのカマ	Sickle	
10	11:$404F	4	つるはし	Pickaxe	
11	11:$4054	8	ひっちゅうのけん	True Rapier	
12	11:$405D	9	ミノタウロスのおの	Minotaur Axe	
13	11:$4067	9	ヨウトウかまいたち	Kama Itachi	
14	11:$4071	8	ひとつめゴロシ	Cyclops Bane	
15	11:$407A	10	ドレインバスター	Drain Slayer	
16	11:$4085	9	かじんフウマとう	Kajin Fuuma	
17	11:$408F	11	ひけんカブラステギ	Kabura Sutegi	
18	11:$409B	6	マムルのけん	Mamel Sword	
19	11:$40A2	7	しんきぶき2	New Weapon 2	
20	11:$40AA	5	かわのたて	Leather Shield	
21	11:$40B0	10	せいどうこうのたて	Bronze Shield	
22	11:$40BB	7	もっこうのたて	Wooden Shield	
23	11:$40C3	7	てっこうのたて	Iron Shield	
24	11:$40CB	11	ドラゴンシールド	Dragon Shield	
25	11:$40D7	6	フウマのたて	Fuuma Shield	
26	11:$40DE	9	バトルカウンター	Battle Counter	
27	11:$40E8	9	じゅうそうのたて	Heavy Shield	
28	11:$40F2	8	やまびこのたて	Echo Shield	
29	11:$40FB	6	みきりのたて	Evasion Shield	
30	11:$4102	7	ヒャッキのたて	Hyakki Shield	
31	11:$410A	8	つかいすてのたて	One-Use Shield	
32	11:$4113	11	じらいナバリのたて	Blast Shield	
33	11:$411F	6	トドのたて	Walrus Shield	
34	11:$4126	9	らせんフウマのたて	Rasen Fuuma	
35	11:$4130	6	マムルのたて	Mamel Shield	
36	11:$4137	6	しんきたて2	New Shield 2	
37	11:$413E	8	つうかのうでわ	Passage Bracer	
38	11:$4147	9	ねぎりのうでわ	Bargain Bracer	
39	11:$4151	11	ハラヘラズのうでわ	No-Hunger Bracer	
40	11:$415D	9	ハラヘリのうでわ	Hunger Bracer	
41	11:$4167	9	かいふくのうでわ	Healing Bracer	
42	11:$4171	10	サビよけのうでわ	Rustproof Bracer	
43	11:$417C	9	かいしんのうでわ	Critical Bracer	
44	11:$4186	9	つうこんのうでわ	Pain Bracer	
45	11:$4190	10	のろいよけのうでわ	No-Curse Bracer	
46	11:$419B	9	えんとうのうでわ	Throwing Bracer	
47	11:$41A5	9	しあわせのうでわ	Happy Bracer	
48	11:$41AF	11	たれながしのうでわ	Leaky Bracer	
49	11:$41BB	8	とうしのうでわ	Insight Bracer	
50	11:$41C4	11	こんらんよけのうでわ	Clarity Bracer	
51	11:$41D0	10	しきべつのうでわ	ID Bracer	
52	11:$41DB	8	しんきうでわ1	New Bracer 1	
53	11:$41E4	8	しんきうでわ2	New Bracer 2	
54	11:$41ED	3	きのや	Wood Arrow	
55	11:$41F1	4	てつのや	Iron Arrow	
56	11:$41F6	5	ぎんのや	Silver Arrow	
57	11:$41FC	5	おにぎり	Onigiri	
58	11:$4202	9	おおきいおにぎり	Big Onigiri	
59	11:$420C	9	くさったおにぎり	Rotten Onigiri	
60	11:$4216	11	きょだいなおにぎり	Huge Onigiri	
61	11:$4222	4	たまご	Egg	
62	11:$4227	10	しんきしょくりょう1	New Food 1	
63	11:$4232	4	やくそう	Medical Herb	
64	11:$4237	7	おとぎりそう	Otogiriso	
65	11:$423F	6	しあわせそう	Happy Herb	
66	11:$4246	7	めぐすりそう	Vision Herb	
67	11:$424E	8	ドラゴンそう	Dragon Herb	
68	11:$4257	5	むてきそう	Invincible Herb	
69	11:$425D	6	てんしのたね	Angel Seed	
70	11:$4264	7	ふっかつのくさ	Revival Herb	
71	11:$426C	6	クネクネそう	Wriggle Herb	
72	11:$4273	6	ふこうのたね	Unlucky Seed	
73	11:$427A	9	ちょうふこうのたね	Cursed Seed	
74	11:$4284	8	ものわすれのくさ	Amnesia Herb	
75	11:$428D	6	いのちのくさ	Life Herb	
76	11:$4294	9	いかくちょうのたね	Expansion Seed	
77	11:$429E	10	いしゅくしょうのたね	Shrink Seed	
