# Shiren GB — VILLAGE AND STORY PROSE, as sentences. `tools/wrap_en.py` turns this into
# the `<br>`-carrying rows in `script/en.tsv`.
#
# WHY THIS FILE EXISTS. `<br>` is authored data, so renderer changes do not re-flow old
# text automatically. Production dialogue now uses modified Dot Gothic with independent
# 30-source-glyph and 144-painted-pixel limits. Drafts live here so a measured geometry or
# approved-font change can be applied in one command:
#
#     python3 tools/wrap_en.py script/prose_draft.tsv --apply
#
# WHAT GOES IN A ROW. `loc <TAB> english`, and the English is SENTENCES. No `<br>`, no
# `<end>`, no leading-space indents — the wrapper owns all three, and the `<end>` rule it
# applies is measured off the shipped Japanese (see wrap_en.wrap).
#
# What you DO write:
#   <brk>          a page break you want for pacing. Put them where the Japanese does.
#   <name> <var>   substitution tokens. lint_en checks these survive; the wrapper leaves
#   <cE3:05>       room for what it expands to. The selector inside <cE3:xx> and the <$XX>
#   <mode1><$3C>   after <mode1> are ARGUMENT BYTES, not text — see TRANSLATING.md §7.
#
# SPEAKER TAGS are the short form for the five compounds Joey ruled on 2026-08-05:
# Kinji / Masa / Chief / Gon / Priest. `Fumi's Mom` is her whole name and stays.
# `lint_en.ATTRIBUTION` is what permits this, and only in the opening position.
#
# loc	english

# ============ bank 14 — the Dragon's Maw finale ============
14:$4BF6	Yoshizota read the Dragon's Cry Scroll.
14:$4C0F	Yoshizota: Whoa! It opened! ...Ugh, this place looks pretty scary after all.<brk>You go on ahead. I'll catch up with you later.
14:$4C67	Koppa: Orochi...<brk>Where is he?
14:$4C7B	Yoshizota: Right here.
14:$4D07	Koppa: ...
14:$4D19	Yoshizota: A shifting land where anything can happen...<brk>I came here to make the power of this land my own.<brk>What do you think will happen if I make Moonlight Village drink this drug?<brk>They'll become monsters forever.<brk>And they'll obey no one but me.<brk>But it doesn't work on adults. That's why I need child sacrifices.<brk>I was so close... So close to completing this cave...<brk>Why save them? Why save a village of monsters?!<brk>Would you kill me, a human, just to save monsters?!<brk>...I have another drug here.<brk>I made it from the children's blood, drawn a little at a time.<brk>What happens when a human drinks it? Let me show you!
14:$4F36	Yoshizota drank the drug!<mode1><$3C><cE7><mode0>
14:$4F4C	Orochi: Even if I fall here,<brk>Orochi shall rise again and again... Heh heh heh.
14:$4F8F	Koppa: Heh! If you made it this far, you're practically a monster yourself!
14:$4FB9	Koppa: You're Fumi, right? We came to rescue you. Let's go home.

# ============ bank 14 — waking at the inn ============
14:$5037	Keyaki: Oh, you're awake!
14:$5047	Innkeeper: Are you all right?...<brk>You were having terrible nightmares. I was worried about you.<brk>Where are you? This is Moonlight Village.<brk>Monsters got you at Kuyo Pass, didn't they?<brk>If you collapse there, you get thrown back here.<brk>Anyway, you should go thank Keyaki.<brk>She's been looking after you this whole time.
14:$5106	Keyaki: Oh, you don't need to thank me...<brk>But I'm just glad you're all right.
14:$5127	Keyaki: Ma'am, I'm going to step out for a bit.
14:$5146	Innkeeper: You mean Keyaki?<brk>Oh, please! She's not my daughter. I'm still single!<brk>She just wanders in now and then and helps around the inn.<brk>She's a little odd, but she's a good kid...
14:$51D3	Keyaki: <name>! Wait up!
14:$51DE	Keyaki: Haa... haa... I'm so glad I made it in time...<brk>You're going to rescue her, right? Here, take this!
14:$5213	<name> received <cE3:05>.
14:$5220	Keyaki: I went up into the hills to get it. It took quite a while...<brk>Good luck!
14:$525F	Keyaki: ...Are you okay?<brk>Please don't overdo it.
14:$5281	Innkeeper: I believe in you.
14:$5294	Keyaki: Hey, <name>!
14:$52AB	<name> received <cE3:FE>.

# ============ bank 14 — Keyaki at the shrine, and Tanmomo ============
14:$52B8	Keyaki: Good luck!
14:$52C7	Innkeeper: Keyaki? I think she went toward the shrine...<brk>She's a free spirit. Sometimes she just wanders off somewhere.<brk>Like a cat.<brk>...Well, it's not like I'm busy. We don't have any customers.
14:$535C	Keyaki: <name>?<brk>Wait just a moment. I will be done soon.
14:$537F	Keyaki: There.<brk>All done.
14:$538C	Keyaki: Isn't this shrine a little unusual?<brk>Moonlight Village doesn't follow the Reeva faith. That's why...
14:$53D3	Keyaki: Hm? What was I praying for?<brk>...Hehe, it's a secret.
14:$53FB	Keyaki: Anyway, um... I have a favor to ask. Is that okay?
14:$541F	=<cEC:08>Can I ask a favor?<br><$81>Sure<br> No
14:$5442	Keyaki: You're mean...
14:$5451	Keyaki: Actually, I'd like you to look after this cat for a while.<brk>Her name is Tanmomo. Take good care of her!
14:$5488	<cE0:28>Tanmomo the cat joined you.<mode1><$78>
14:$549F	Keyaki: Hold B and press the D-Pad to swap places with Tanmomo.
14:$54D4	Keyaki: Hm? What is it?
14:$54E1	=<cEC:09><$81>Is Tanmomo yours?<br> Why the name Tanmomo?<br> How do I swap with her?
14:$551D	Keyaki: No. I found her behind the shrine earlier.<brk>She was freezing, poor thing...<brk>Take good care of her!
14:$5562	Keyaki: See how short her thighs are?<brk>That's why I call her Tanmomo: Short-Thigh.<brk>Take good care of her!
14:$5596	Keyaki: Hold B and press the D-Pad toward Tanmomo to switch places.<brk>Take good care of her!

# ============ bank 14 — Masa and Kinji build the warehouse ============
