# Shiren GB — THE GLOSSARY. 391 item, monster, appearance and NPC names.
#
# WHY THIS FILE EXISTS, AND WHY IT IS FROZEN
#
# `こんぼう` is an item name, a line of help text, a combat message and a shop's dialogue.
# Translated batch by batch it becomes Club / Cudgel / Stick, and review cannot catch that
# -- catching it means holding 1,263 strings in your head at once. So the names are
# translated ONCE, here, and every later batch takes them as a constraint.
# `tools/lint_en.py --glossary` enforces it: if a Japanese string contains a glossary
# term, the English must use the frozen rendering.
#
# HOUSE STYLE, decided by Joey 2026-08-04
#
#   * Names read as modern official Shiren English -- plain and meaning-first -- rather
#     than as the Aeon Genesis SNES romanisations. `ひとつめゴロシ` is "One-Eye Killer",
#     not "Hitotsume Goroshi".
#   * The CATEGORY nouns are Aeon Genesis', so the two projects agree where it is cheapest
#     for them to: Herb / Bracer / Staff / Pot / Scroll. (`~/Documents/Workplace/Shiren/
#     shiren-revamp-fixes/text/{itemnames,enemynames}.asm` is the sibling's table.)
#   * A tier family reads as a family: Rat Minion / Rat Boss / Rat Kingpin.
#   * Proper nouns that carry no meaning in Japanese either stay transliterated --
#     Mamel, Gazer, Chintala, Orochi.
#
# SERIES TERMINOLOGY AUDIT, 2026-08-10. Monster/NPC names now prefer an exact Japanese
# match from the newest official English Shiren release represented by the Mystery Dungeon
# Franchise Wiki, then Shiren 1 DS, then an established unflagged Moonlight Village wiki
# name. Wiki entries explicitly marked unofficial are not silently adopted; unresolved
# differences live in script/term_uncertainties.tsv. The Shiren 2 fan-patch list is the
# next authority when an exact official term does not exist.
#
# VWF BUDGET RESET IN PROGRESS (2026-08-09). See VWF_BUDGETS.md.
#
#   class item, appearance -> legacy ITEM_CAP source/substitution guard: 16 chars
#   class monster, npc     -> legacy NAME_CAP source/substitution guard: 14 chars
#
# These are NOT Dot Gothic pixel limits. A combat line and its runtime name still share a
# 144px canvas, but the old 14/16 numbers were carried forward from fixed-width cells
# without remeasuring every substitution path. `lint_en.py --glossary` keeps them as a
# conservative engineering-review guard while that census is open. If a proposed name
# crosses one, do not shorten it automatically: measure its menu suffix variants and every
# runtime template, then widen/fix the source path or choose wording on actual evidence.
#
# THE CURRENT ITEM-LIST CONTRACT IS SEPARATE. The proportional payload owns 128px and its
# source scanner currently accepts at most 18 glyphs, including runtime status suffixes.
# `True Rapier+99` leaves comfortable pixel and allocator headroom; the wider guard stays
# in place so another long equipment name plus a native status mark cannot silently fall
# back to fixed width.
# Staff/pot `[NN]` and every signed equipment value remain mandatory audit variants; do not
# judge a bare name or assume `99` is the widest pair in a proportional font.
#
# DUPLICATE JAPANESE IS NORMAL AND MUST STAY DUPLICATE. `くねくねハニー`, `オロチ`,
# `いやしウサギ`, `ばくだんウニ`, `ぼうれいむしゃ` and `エーテルもどき` each appear at
# two or three tiers with the same name in Japanese; they keep one English name. What the
# collision check forbids is the reverse -- two DIFFERENT Japanese names landing on the
# same English, which would make two monsters indistinguishable in a message.
#
# `New Weapon 3` and friends are unused placeholder slots (`しんきぶき3` = 新規武器3).
# They are named rather than left Japanese so that a slot leaking on screen is legible.
#
# THREE OF THESE WERE NOT IN THE SCRIPT UNTIL 2026-08-04 -- `きみょうなはこ`,
# `エーテルもどき` and `アイアンヘッド`. `き` is code $11, which is `ld de,nn`, so a
# linear scan read the kana as an instruction and extract.py discarded the strings that
# "contained a pointer operand". See tools/extract.py `immediate_refs`.
#
# loc	class	jp	en

# ---------------------------------------------------------------- weapons
11:$4012	item	こんぼう	Club
11:$4018	item	ながまき	Nagamaki
11:$401E	item	しんきぶき3	New Weapon 3
11:$4026	item	カタナ	Katana
11:$402A	item	ドラゴンキラー	Dragonkiller
11:$4034	item	どうたぬき	Doutanuki
11:$403B	item	マンジカブラ	Manji Kabura
11:$4044	item	じょうぶつのカマ	Sickle
11:$404F	item	つるはし	Pickaxe
11:$4054	item	ひっちゅうのけん	True Rapier
11:$405D	item	ミノタウロスのおの	Minotaur Axe
11:$4067	item	ヨウトウかまいたち	Kama Itachi
11:$4071	item	ひとつめゴロシ	Cyclops Bane
11:$407A	item	ドレインバスター	Drain Slayer
11:$4085	item	かじんフウマとう	Kajin Fuuma
11:$408F	item	ひけんカブラステギ	Kabura Sutegi
11:$409B	item	マムルのけん	Mamel Sword
11:$40A2	item	しんきぶき2	New Weapon 2

# ---------------------------------------------------------------- shields
11:$40AA	item	かわのたて	Leather Shield
11:$40B0	item	せいどうこうのたて	Bronze Shield
11:$40BB	item	もっこうのたて	Wooden Shield
11:$40C3	item	てっこうのたて	Iron Shield
11:$40CB	item	ドラゴンシールド	Dragon Shield
11:$40D7	item	フウマのたて	Fuuma Shield
11:$40DE	item	バトルカウンター	Battle Counter
11:$40E8	item	じゅうそうのたて	Heavy Shield
11:$40F2	item	やまびこのたて	Echo Shield
11:$40FB	item	みきりのたて	Evasion Shield
11:$4102	item	ヒャッキのたて	Hyakki Shield
11:$410A	item	つかいすてのたて	One-Use Shield
11:$4113	item	じらいナバリのたて	Blast Shield
11:$411F	item	トドのたて	Todo Shield
11:$4126	item	らせんフウマのたて	Rasen Fuuma
11:$4130	item	マムルのたて	Mamel Shield
11:$4137	item	しんきたて2	New Shield 2

# ---------------------------------------------------------------- bracers
11:$413E	item	つうかのうでわ	Passage Bracer
11:$4147	item	ねぎりのうでわ	Bargain Bracer
11:$4151	item	ハラヘラズのうでわ	No-Hunger Bracer
11:$415D	item	ハラヘリのうでわ	Hunger Bracer
11:$4167	item	かいふくのうでわ	Healing Bracer
11:$4171	item	サビよけのうでわ	Rustproof Bracer
11:$417C	item	かいしんのうでわ	Critical Bracer
11:$4186	item	つうこんのうでわ	Pain Bracer
11:$4190	item	のろいよけのうでわ	No-Curse Bracer
11:$419B	item	えんとうのうでわ	Throwing Bracer
11:$41A5	item	しあわせのうでわ	Happy Bracer
11:$41AF	item	たれながしのうでわ	Leaky Bracer
11:$41BB	item	とうしのうでわ	Insight Bracer
11:$41C4	item	こんらんよけのうでわ	Clarity Bracer
11:$41D0	item	しきべつのうでわ	ID Bracer
11:$41DB	item	しんきうでわ1	New Bracer 1
11:$41E4	item	しんきうでわ2	New Bracer 2

# ---------------------------------------------------------------- arrows and food
11:$41ED	item	きのや	Wood Arrow
11:$41F1	item	てつのや	Iron Arrow
11:$41F6	item	ぎんのや	Silver Arrow
11:$41FC	item	おにぎり	Onigiri
11:$4202	item	おおきいおにぎり	Big Onigiri
11:$420C	item	くさったおにぎり	Rotten Onigiri
11:$4216	item	きょだいなおにぎり	Huge Onigiri
11:$4222	item	たまご	Egg
11:$4227	item	しんきしょくりょう1	New Food 1

# ---------------------------------------------------------------- herbs and seeds
11:$4232	item	やくそう	Medical Herb
11:$4237	item	おとぎりそう	Otogiri Herb
11:$423F	item	しあわせそう	Happy Herb
11:$4246	item	めぐすりそう	Vision Herb
11:$424E	item	ドラゴンそう	Dragon Herb
