target	bank	address	encoding	effect	origin	owner	policy	route
LCDC	0	$0737	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	2	$4120	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	2	$46D6	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	2	$478D	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	4	$41F6	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	4	$6652	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	4	$72C9	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	4	$7C36	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	10	$405C	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	10	$4181	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	13	$77D2	ldh	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC	13	$7842	ldh	variable	translation	translation-added writer	observe	does not locally prove an LCD-off transition
LCDC	16	$6F7D	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	17	$4C51	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	18	$6447	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	19	$6DF5	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	19	$7D35	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	20	$5057	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	21	$4591	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	21	$7AE9	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	21	$7D87	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	22	$4477	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	22	$4B9C	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	22	$4D66	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	23	$662C	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	23	$76EE	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	24	$43E8	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	24	$514C	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	24	$5382	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	24	$60AE	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	25	$4A14	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	25	$4D8D	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	25	$4EF4	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	25	$4F3F	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	25	$533A	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	25	$566D	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	25	$56DA	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	25	$5BCC	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	25	$5FB0	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	25	$784F	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	25	$7A62	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	25	$7C1E	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	25	$7D64	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	26	$4483	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	26	$508C	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	26	$50B6	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	26	$5277	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	26	$558C	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	26	$55D5	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	26	$5A73	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	27	$5963	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	27	$6DA8	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	27	$6E59	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	29	$4054	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	29	$407F	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	29	$40EC	ldh	immediate-off-$11	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	29	$411A	res-[hl]	explicit-off	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	29	$418A	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	29	$41E9	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	29	$4238	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	29	$42BB	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	29	$42FB	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	29	$435B	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	29	$4372	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	29	$438A	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	29	$43D0	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	29	$4402	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	29	$441B	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	29	$4432	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	30	$4601	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	30	$761B	ldh	variable	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	31	$48E6	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	31	$499E	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
LCDC	31	$49F7	set-[hl]	explicit-on	base	base ROM	native-observe	native/shared LCDC writer; runtime value is caller-dependent
